Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Location,Currency,Market Currency,FX Rate
"BABA","ALIBABA GROUP HOLDING ADR REPRESEN","Equity","5.57","207.41","15,182,400.00","3,148,981,584.00","3,148,981,584.00","Consumer Discretionary","BP41ZD1","US01609W1027","New York Stock Exchange Inc.","China","USD","USD","1.00"
"700","TENCENT HOLDINGS LTD","Equity","4.49","50.71","50,133,700.00","2,542,335,774.50","2,542,335,774.50","Communication","BMMV2K8","KYG875721634","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Equity","4.02","10.58","214,900,000.00","2,273,373,204.94","2,273,373,204.94","Information Technology","6889106","TW0002330008","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"005930","SAMSUNG ELECTRONICS LTD","Equity","3.41","46.35","41,661,767.00","1,930,947,788.67","1,930,947,788.67","Information Technology","6771720","KR7005930003","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"939","CHINA CONSTRUCTION BANK CORP H","Equity","1.23","0.83","836,043,000.00","694,057,191.58","694,057,191.58","Financials","B0LMTQ3","CNE1000002H1","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"NPN","NASPERS LIMITED N LTD","Equity","1.09","160.30","3,863,053.00","619,241,026.56","619,241,026.56","Consumer Discretionary","6622691","ZAE000015889","Johannesburg Stock Exchange","South Africa","USD","ZAR","15.28"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Equity","0.97","11.26","48,737,000.00","548,875,410.26","548,875,410.26","Financials","B01FLR7","CNE1000003X6","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"RELIANCE","RELIANCE INDUSTRIES LTD","Equity","0.81","18.32","24,957,385.00","457,232,844.88","457,232,844.88","Energy","6099626","INE002A01018","National Stock Exchange Of India","India","USD","INR","73.30"
"HDFC","HOUSING DEVELOPMENT FINANCE CORPOR","Equity","0.76","29.90","14,402,767.00","430,604,367.19","430,604,367.19","Financials","6171900","INE001A01036","National Stock Exchange Of India","India","USD","INR","73.30"
"941","CHINA MOBILE LTD","Equity","0.74","7.81","53,745,000.00","419,888,216.74","419,888,216.74","Communication","6073556","HK0941009539","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Equity","0.70","0.70","565,716,000.00","394,643,248.60","394,643,248.60","Financials","B1G1QD8","CNE1000003G1","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"000660","SK HYNIX INC","Equity","0.65","77.64","4,754,105.00","369,096,414.29","369,096,414.29","Information Technology","6450267","KR7000660001","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"SBER","SBERBANK ROSSII","Equity","0.61","3.62","94,898,980.00","343,199,092.75","343,199,092.75","Financials","4767981","RU0009029540","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"LKOH","NK LUKOIL","Equity","0.57","88.37","3,678,569.00","325,066,171.87","325,066,171.87","Energy","B59SNS8","RU0009024277","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"INFY","INFOSYS LTD","Equity","0.54","10.19","30,017,148.00","305,915,066.08","305,915,066.08","Information Technology","6205122","INE009A01021","National Stock Exchange Of India","India","USD","INR","73.30"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Equity","0.52","7.02","42,125,082.00","295,714,060.35","295,714,060.35","Financials","B037HR3","BRITUBACNPR1","XBSP","Brazil","USD","BRL","4.46"
"ICICIBANK","ICICI BANK LTD","Equity","0.52","7.02","41,793,837.00","293,507,658.46","293,507,658.46","Financials","BSZ2BY7","INE090A01021","National Stock Exchange Of India","India","USD","INR","73.30"
"2317","HON HAI PRECISION INDUSTRY LTD","Equity","0.52","2.70","108,686,928.00","293,327,596.97","293,327,596.97","Information Technology","6438564","TW0002317005","Taiwan Stock Exchange","Taiwan","USD","TWD","30.01"
"VALE3","CIA VALE DO RIO DOCE SH","Equity","0.51","10.40","27,796,483.00","288,952,506.21","288,952,506.21","Materials","2196286","BRVALEACNOR0","XBSP","Brazil","USD","BRL","4.46"
"BIDU","BAIDU ADR REPTG INC CLASS A","Equity","0.50","117.97","2,390,197.00","281,971,540.09","281,971,540.09","Communication","B0FXT17","US0567521085","NASDAQ","China","USD","USD","1.00"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Equity","0.50","38.99","7,223,499.00","281,615,538.69","281,615,538.69","Information Technology","6773812","KR7005931001","Korea Exchange (Stock Market)","Korea (South)","USD","KRW","1,195.30"
"3988","BANK OF CHINA LTD H","Equity","0.48","0.40","677,489,000.00","271,187,436.77","271,187,436.77","Financials","B154564","CNE1000001Z5","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"JD","JD.COM ADR REPRESENTING INC CLASS","Equity","0.47","41.46","6,410,670.00","265,786,378.20","265,786,378.20","Consumer Discretionary","BMM27D9","US47215P1066","NASDAQ","China","USD","USD","1.00"
"GAZP","GAZPROM","Equity","0.46","3.08","84,840,000.00","261,244,637.69","261,244,637.69","Energy","B59L4L7","RU0007661625","Standard-Classica-Forts","Russian Federation","USD","RUB","65.43"
"AMXL","AMERICA MOVIL L","Equity","0.44","0.84","293,424,572.00","247,229,316.40","247,229,316.40","Communication","2667470","MXP001691213","Bolsa Mexicana De Valores","Mexico","USD","MXN","19.23"
"BBDC4","BANCO BRADESCO PREF SA","Equity","0.42","6.76","35,038,742.00","236,695,690.28","236,695,690.28","Financials","B00FM53","BRBBDCACNPR8","XBSP","Brazil","USD","BRL","4.46"
"883","CNOOC LTD","Equity","0.39","1.42","156,392,000.00","222,626,362.06","222,626,362.06","Energy","B00G0S5","HK0883013259","Hong Kong Exchanges And Clearing Ltd","China","USD","HKD","7.77"
"TCS","TATA CONSULTANCY SERVICES LTD","Equity","0.39","27.78","7,967,311.00","221,331,405.00","221,331,405.00","Information Technology","B01NPJ1","INE467B01029","National Stock Exchange Of India","India","USD","INR","73.30"
"PETR4","PETROLEO BRASILEIRO PREF SA","Equity","0.38","5.84","36,843,208.00","215,254,402.78","215,254,402.78","Energy","2684532","BRPETRACNPR6","XBSP","Brazil","USD","BRL","4.46"
